threshold,side,object_id,label,count,object_mesh_vertices,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz
0.05,gt_fn,5692549928996306967,3,558,11577,-14.1511,29.58,1.41991,0.626805,1.9937,0.846116
0.05,gt_fn,5692549928996306953,15,227,3666,-8.87404,26.8144,2.24423,0.545332,0.580158,2.04271
0.05,gt_fn,5692549928996307080,4,15,25887,13.8633,30.5302,1.73188,0.460373,0.394875,0.245062
0.05,gt_fn,5692549928996306962,2,65,4566,-13.9834,28.7082,1.55112,0.19477,0.578819,0.541378
0.05,gt_fn,5692549928996306971,3,1618,3711,-13.3566,33.8915,1.38303,0.912923,3.22643,0.787893
0.05,gt_fn,5692549928996307098,4,107,4242,-0.124878,20.5011,1.12156,0.541583,0.541216,0.264924
0.05,gt_fn,5692549928996307039,11,647,5529,-7.38636,21.8486,1.24619,1.51608,0.610857,0.498577
0.05,gt_fn,5692549928996307071,3,2258,7446,17.1671,29.5671,1.52579,2.01198,2.11771,1.06018
0.05,gt_fn,5692549928996307041,11,342,8580,2.95707,17.8472,1.4739,0.928479,0.623283,0.952938
0.05,gt_fn,5692549928996306973,3,462,5178,-9.43849,35.3888,1.73985,0.875507,1.6991,0.619646
0.05,gt_fn,5692549928996307100,11,1016,4992,3.03475,17.2378,1.45067,1.09392,4.28043,0.997137
0.05,gt_fn,5692549928996307043,11,689,32901,3.00702,18.9232,1.47211,1.01357,0.950085,0.951607
0.05,gt_fn,5692549928996307074,3,2589,16356,14.1518,32.4608,2.17772,1.01185,1.51514,2.40374
0.05,gt_fn,5692549928996307083,3,12,5442,13.7108,29.9489,2.41975,0.279501,0.328058,0.226498
0.05,gt_fn,5692549928996306956,11,533,4551,-7.28102,21.8578,1.25141,1.65614,0.606592,0.487051
0.05,gt_fn,5692549928996307099,11,601,3264,2.96321,17.2101,1.54171,0.944152,2.61386,0.854393
0.05,gt_fn,5692549928996307076,2,650,6747,13.7438,30.9042,2.5151,0.331563,0.567064,1.82495
0.05,gt_fn,5692549928996306949,11,1260,11052,-14.7766,22.1528,1.46687,1.47824,1.06381,0.976274
0.05,gt_fn,5692549928996307009,11,78,5487,-4.30144,34.6606,1.69734,0.395032,0.568996,1.23197
0.05,gt_fn,5692549928996307057,11,88,24636,19.0992,23.2008,1.47827,0.94458,0.860853,0.944901
0.05,gt_fn,5692549928996306999,3,2554,1056,-8.73922,34.1847,1.76171,4.10786,0.963837,1.53391
0.05,gt_fn,5692549928996306974,11,102,13170,-10.3802,35.09,1.94313,0.747843,0.765774,0.736379
0.05,gt_fn,5692549928996307101,2,45,24219,2.99362,13.1716,1.52284,0.391362,0.519403,0.538494
0.05,gt_fn,5692549928996307038,2,144,29691,-6.30803,21.8169,1.39766,0.425505,0.460567,0.791749
0.05,gt_fn,5692549928996306965,3,910,11451,-9.159,32.0392,1.76935,1.41705,1.07143,1.56866
0.05,gt_fn,5692549928996307092,2,193,6234,13.9897,27.6153,1.39566,0.265219,0.670317,0.79303
0.05,gt_fn,5692549928996307019,2,1,5352,-2.89677,31.6445,1.84006,0.319503,0.447159,0.12839
0.05,gt_fn,5692549928996307079,4,54,8685,13.8503,30.4884,2.70187,0.424537,0.979971,0.25436
0.05,gt_fn,5692549928996306952,2,222,417,-13.1649,28.7229,0.998919,0.457907,1.52652,0.0115407
0.05,gt_fn,5692549928996307032,3,2155,12684,-7.61408,28.6674,1.83415,2.05795,1.61725,1.70277
0.05,gt_fn,5692549928996307029,3,185,16500,-2.91534,28.3457,2.00799,0.618261,1.63289,2.03807
0.05,dsg_fp,5692549928996307105,11,3158,6357,-8.67793,24.8308,1.47985,1.28056,1.28686,0.940451
0.05,dsg_fp,5692549928996307092,2,17,6234,13.9897,27.6153,1.39566,0.265219,0.670317,0.79303
0.05,dsg_fp,5692549928996307090,2,12,4053,17.2729,28.9839,1.99416,0.773655,0.682148,0.183687
0.05,dsg_fp,5692549928996307070,2,38,810,17.2803,29.5874,1.95298,0.733717,1.38329,0.11652
