frame,session,phase,session_checkpoint,session_time_s,source_time_s,ply,overlay,dynamic_history,dynamic_tracks,display_object_meshes,initial_vertices,removed_vertices,injected_vertices,final_vertices,prior_matched_objects,prior_restored_objects,prior_absent_objects,prior_unobserved_objects,cross_session_prior_vertices,cross_session_current_vertices,cross_session_prior_absent_vertices,cross_session_prior_persistent_vertices,cross_session_prior_unobserved_vertices,cross_session_current_injected_vertices
4,A,within_session,4,12.670002000,11.670002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,12.770002000,11.770002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,12.870002000,11.870002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,12.970002000,11.970002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.070002000,12.070002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.170002000,12.170002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.270002000,12.270002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.370002000,12.370002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.470002000,12.470002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.570002000,12.570002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.670002000,12.670002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.770002000,12.770002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.870002000,12.870002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,13.970002000,12.970002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,14.070002000,13.070002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,14.170002000,13.170002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,14.270002000,13.270002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,14.370002000,13.370002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,14.470002000,13.470002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,14.570002000,13.570002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,14.670002000,13.670002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
4,A,within_session,4,14.770002000,13.770002000,frames/frame_004_A_04.ply,frames/frame_004_A_04.json,diagnostics/A_dynamic_history.json,1,True,9246,0,0,9246,0,0,0,0,0,0,0,0,0,0
