vertex_index,object_id,vertex_label,object_label,distance_m,decision
43702,5692549928996306945,0,3,0.0211927,remove
43703,5692549928996306945,0,3,0.0136608,remove
43706,5692549928996306945,0,3,0.0136638,remove
43709,5692549928996306945,0,3,0.0264542,remove
43710,5692549928996306945,0,3,0.022135,remove
43711,5692549928996306945,0,3,0.0166175,remove
43712,5692549928996306945,0,3,0.0221344,remove
43713,5692549928996306945,0,3,0.0189945,remove
43714,5692549928996306945,0,3,0.0252396,remove
43715,5692549928996306945,0,3,0.0210124,remove
43716,5692549928996306945,0,3,0.0159274,remove
43718,5692549928996306945,0,3,0.0160766,remove
43720,5692549928996306945,0,3,0.0160775,remove
43721,5692549928996306945,0,3,0.0154174,remove
43722,5692549928996306945,0,3,0.0193112,remove
43723,5692549928996306945,0,3,0.0193089,remove
43724,5692549928996306945,0,3,0.0238814,remove
43725,5692549928996306945,0,3,0.0125344,remove
43726,5692549928996306945,0,3,0.00140668,remove
43727,5692549928996306945,0,3,0.0117697,remove
43728,5692549928996306945,0,3,0.00536774,remove
43729,5692549928996306945,0,3,0.011766,remove
43730,5692549928996306945,0,3,0.00662182,remove
43731,5692549928996306945,0,3,0.00658636,remove
43732,5692549928996306945,0,3,0.00399396,remove
43733,5692549928996306945,0,3,0.0154079,remove
43734,5692549928996306945,0,3,0.0115533,remove
43735,5692549928996306945,0,3,0.012892,remove
43736,5692549928996306945,0,3,0.0118951,remove
43737,5692549928996306945,0,3,0.0176292,remove
43738,5692549928996306945,0,3,0.0128954,remove
43739,5692549928996306945,0,3,0.00658422,remove
43740,5692549928996306945,0,3,0.0227019,remove
43741,5692549928996306945,0,3,0.0107102,remove
43742,5692549928996306945,0,3,0.0101025,remove
43743,5692549928996306945,0,3,0.0194423,remove
43744,5692549928996306945,0,3,0.0148619,remove
43745,5692549928996306945,0,3,0.0194446,remove
43746,5692549928996306945,0,3,0.0156651,remove
43748,5692549928996306945,0,3,0.0167,remove
43749,5692549928996306945,0,3,0.0121294,remove
43750,5692549928996306945,0,3,0.0161374,remove
43751,5692549928996306945,0,3,0.015407,remove
43752,5692549928996306945,0,3,0.0113085,remove
43753,5692549928996306945,0,3,0.00842742,remove
43754,5692549928996306945,0,3,0.0144483,remove
43755,5692549928996306945,0,3,0.0113072,remove
43756,5692549928996306945,0,3,0.0200322,remove
43757,5692549928996306945,0,3,0.0275397,remove
43761,5692549928996306945,0,3,0.0107089,remove
43762,5692549928996306945,0,3,0.019443,remove
43763,5692549928996306945,0,3,0.0148613,remove
43764,5692549928996306945,0,3,0.0194453,remove
43765,5692549928996306945,0,3,0.0156623,remove
43766,5692549928996306945,0,3,0.00813015,remove
43767,5692549928996306945,0,3,0.0167008,remove
43768,5692549928996306945,0,3,0.0189097,remove
43769,5692549928996306945,0,3,0.0287056,remove
43770,5692549928996306945,0,3,0.0161365,remove
43771,5692549928996306945,0,3,0.018909,remove
43772,5692549928996306945,0,3,0.0275402,remove
43774,5692549928996306945,0,3,0.0103521,remove
43775,5692549928996306945,0,3,0.00632289,remove
43776,5692549928996306945,0,3,0.0175562,remove
43777,5692549928996306945,0,3,0.0207722,remove
43778,5692549928996306945,0,3,0.0285133,remove
43779,5692549928996306945,0,3,0.0298395,remove
43780,5692549928996306945,0,3,0.0107093,remove
43782,5692549928996306945,0,3,0.012541,remove
43783,5692549928996306945,0,3,0.0101016,remove
43785,5692549928996306945,0,3,0.0161365,remove
43786,5692549928996306945,0,3,0.010708,remove
43787,5692549928996306945,0,3,0.0166753,remove
43788,5692549928996306945,0,3,0.0173217,remove
43789,5692549928996306945,0,3,0.015235,remove
43790,5692549928996306945,0,3,0.00517005,remove
43791,5692549928996306945,0,3,0.00399749,remove
43793,5692549928996306945,0,3,0.0198216,remove
43794,5692549928996306945,0,3,0.0152327,remove
43795,5692549928996306945,0,3,0.0154337,remove
43796,5692549928996306945,0,3,0.0221775,remove
43797,5692549928996306945,0,3,0.0124662,remove
43798,5692549928996306945,0,3,0.0226866,remove
43799,5692549928996306945,0,3,0.0231664,remove
43800,5692549928996306945,0,3,0.00632512,remove
43801,5692549928996306945,0,3,0.0161356,remove
43802,5692549928996306945,0,3,0.0152321,remove
43804,5692549928996306945,0,3,0.0125309,remove
43805,5692549928996306945,0,3,0.0144519,remove
43806,5692549928996306945,0,3,0.0193624,remove
43807,5692549928996306945,0,3,0.0167839,remove
43808,5692549928996306945,0,3,0.016787,remove
43809,5692549928996306945,0,3,0.0198223,remove
43810,5692549928996306945,0,3,0.0294775,remove
43811,5692549928996306945,0,3,0.0118959,remove
43812,5692549928996306945,0,3,0.0152356,remove
43814,5692549928996306945,0,3,0.0193629,remove
43816,5692549928996306945,0,3,0.0167845,remove
43817,5692549928996306945,0,3,0.0167875,remove
44568,5692549928996306945,0,3,0.027172,remove
44569,5692549928996306945,0,3,0.0271755,remove
44576,5692549928996306945,0,3,0.0198006,remove
44577,5692549928996306945,0,3,0.0182439,remove
44603,5692549928996306945,0,3,0.0170881,remove
44604,5692549928996306945,0,3,0.0130465,remove
44605,5692549928996306945,0,3,0.0170877,remove
44610,5692549928996306945,0,3,0.0235311,remove
44614,5692549928996306945,0,3,0.0184384,remove
44615,5692549928996306945,0,3,0.018438,remove
44616,5692549928996306945,0,3,0.00877406,remove
44617,5692549928996306945,0,3,0.0136943,remove
44618,5692549928996306945,0,3,0.0148746,remove
44619,5692549928996306945,0,3,0.0148712,remove
44620,5692549928996306945,0,3,0.0176061,remove
44621,5692549928996306945,0,3,0.017336,remove
44623,5692549928996306945,0,3,0.0226455,remove
44624,5692549928996306945,0,3,0.0197477,remove
44626,5692549928996306945,0,3,0.0139229,remove
44629,5692549928996306945,0,3,0.0103824,remove
44630,5692549928996306945,0,3,0.00457471,remove
44631,5692549928996306945,0,3,0.0207693,remove
44632,5692549928996306945,0,3,0.017333,remove
44633,5692549928996306945,0,3,0.0226462,remove
44636,5692549928996306945,0,3,0.0107891,remove
44637,5692549928996306945,0,3,0.0136981,remove
44638,5692549928996306945,0,3,0.0176053,remove
44639,5692549928996306945,0,3,0.0216885,remove
44644,5692549928996306945,0,3,0.02077,remove
44645,5692549928996306945,0,3,0.0222308,remove
44647,5692549928996306945,0,3,0.0207725,remove
44648,5692549928996306945,0,3,0.00722649,remove
44649,5692549928996306945,0,3,0.0207718,remove
44650,5692549928996306945,0,3,0.00995228,remove
